Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	PubMed	Gene Ontology	Pathway
264506_at	GLP5, PDGLP1	germin-like protein (GLP5), germin-like protein (GLP5)	1, 1	3093839	AT1G09560	12169696, 14576160, 14617066, 14595688, 15272873, 15235117, 16911220, 16998091, 17335514, 18650403, 18796151, 20736450, 22960910	GO:0005576: extracellular region, GO:0005618: cell wall, GO:0005634: nucleus, GO:0006499: N-terminal protein myristoylation, GO:0006865: amino acid transport, GO:0006888: ER to Golgi vesicle-mediated transport, GO:0009409: response to cold, GO:0009506: plasmodesma, GO:0009627: systemic acquired resistance, GO:0010167: response to nitrate, GO:0010497: plasmodesmata-mediated intercellular transport, GO:0015706: nitrate transport, GO:0030145: manganese ion binding, GO:0034976: response to endoplasmic reticulum stress, GO:0043090: amino acid import, GO:0045735: nutrient reservoir activity, GO:2000280: regulation of root development	
253815_at	ATEXPB3, ATHEXP, EXPB3	putative beta-expansin/allergen protein. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana., putative beta-expansin/allergen protein. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana., putative beta-expansin/allergen protein. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.	4, 4, 4	-14000038, -14000038	AT4G28250	11641069, 11891242, 15247402, 15713015, 15546358, 16236154, 16553896, 16942607, 16927204, 17061125, 17497164, 17496105, 17587374, 18053238, 18334669, 18650403, 23148892, 23134674	GO:0005576: extracellular region, GO:0005576: extracellular region, GO:0006949: syncytium formation, GO:0009506: plasmodesma, GO:0009664: plant-type cell wall organization, GO:0009826: unidimensional cell growth, GO:0009826: unidimensional cell growth, GO:0009828: plant-type cell wall loosening, GO:0009828: plant-type cell wall loosening, GO:0010583: response to cyclopentenone, GO:0019953: sexual reproduction	
252183_at	UGT72E1	UGT72E1 is an UDPG:coniferyl alcohol glucosyltransferase which specifically glucosylates sinapyl- and coniferyl aldehydes. The enzyme is thought to be involved in lignin metabolism.	3	-18855161	AT3G50740	14535883, 15342621, 15539473, 15772289, 16995900, 17149585, 18493073, 18545707	GO:0006520: cellular amino acid metabolic process, GO:0006569: tryptophan catabolic process, GO:0008152: metabolic process, GO:0008194: UDP-glycosyltransferase activity, GO:0009684: indoleacetic acid biosynthetic process, GO:0009808: lignin metabolic process, GO:0010167: response to nitrate, GO:0015706: nitrate transport, GO:0016757: transferase activity, transferring glycosyl groups, GO:0016758: transferase activity, transferring hexosyl groups, GO:0047209: coniferyl-alcohol glucosyltransferase activity	00940: Phenylpropanoid biosynthesis
251012_at			5	579852, 579852	AT5G02580	17630276, 18252252, 18650403	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0006635: fatty acid beta-oxidation, GO:0008150: biological_process, GO:0009062: fatty acid catabolic process	
260831_at			1	2097151	AT1G06830	15632145, 15546358, 16299171, 16720602, 17031546, 17028338, 18552355	GO:0005737: cytoplasm, GO:0009055: electron carrier activity, GO:0015035: protein disulfide oxidoreductase activity, GO:0045454: cell redox homeostasis, GO:0048653: anther development	
263594_at	ATPAP7, PAP7		2, 2	-391423	AT2G01880	12021284, 14701923, 15047898, 15333753, 15634198, 15695462, 15539473, 16244908, 17061125, 17637675, 20226671	GO:0003993: acid phosphatase activity, GO:0004722: protein serine/threonine phosphatase activity, GO:0005576: extracellular region, GO:0016787: hydrolase activity	
250248_at	ZIF1	Encodes ZIF1 (ZINC-INDUCED FACILITATOR1), a member of the Major Facilitator Superfamily (MFS) of membrane proteins which are found in all organisms and transport a wide range of small, organic molecules. Involved in a mechanism of Zn sequestration, possibly by transport of a Zn ligand or Zn-ligand complex into vacuoles.	5	4432306	AT5G13740	14623097, 15258262, 15235117, 15574398, 16478044, 18775970, 18631293, 20675571, 22374397	GO:0005215: transporter activity, GO:0005351: sugar:proton symporter activity, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0009624: response to nematode, GO:0009705: plant-type vacuole membrane, GO:0010043: response to zinc ion, GO:0015144: carbohydrate transmembrane transporter activity, GO:0016020: membrane, GO:0016021: integral component of membrane, GO:0055069: zinc ion homeostasis, GO:0055085: transmembrane transport	
262868_at	CDI		1	-24137517	AT1G64980	16242667, 18650403, 18775970, 22569258	GO:0005634: nucleus, GO:0005829: cytosol, GO:0009846: pollen germination, GO:0009860: pollen tube growth	
257382_at	ATWRKY54, WRKY54	member of WRKY Transcription Factor; Group III, member of WRKY Transcription Factor; Group III	2, 2	-17000454	AT2G40750	10785665, 11118137, 15086800, 15375205, 16864593, 17114354, 17316173, 17496105, 17581762, 17096590, 18671872, 18650403, 21988475, 22268143, 22316300	GO:0000165: MAPK cascade, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0006355: regulation of transcription, DNA-templated, GO:0006612: protein targeting to membrane, GO:0009595: detection of biotic stimulus, GO:0009627: systemic acquired resistance, GO:0009697: salicylic acid biosynthetic process, GO:0009751: response to salicylic acid, GO:0009862: systemic acquired resistance, salicylic acid mediated signaling pathway, GO:0009867: jasmonic acid mediated signaling pathway, GO:0010200: response to chitin, GO:0010310: regulation of hydrogen peroxide metabolic process, GO:0010363: regulation of plant-type hypersensitive response, GO:0031347: regulation of defense response, GO:0031347: regulation of defense response, GO:0031348: negative regulation of defense response, GO:0042742: defense response to bacterium, GO:0043565: sequence-specific DNA binding, GO:0043900: regulation of multi-organism process, GO:0045088: regulation of innate immune response, GO:0050832: defense response to fungus, GO:1900056: negative regulation of leaf senescence	
249476_at			5	15578811	AT5G38910	15489280, 17028338	GO:0005576: extracellular region, GO:0008150: biological_process, GO:0030145: manganese ion binding, GO:0045735: nutrient reservoir activity, GO:0048046: apoplast	
259221_s_at							GO:0004629: phospholipase C activity, GO:0005829: cytosol, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0009247: glycolipid biosynthetic process, GO:0009395: phospholipid catabolic process, GO:0009395: phospholipid catabolic process, GO:0016036: cellular response to phosphate starvation, GO:0016788: hydrolase activity, acting on ester bonds, GO:0016788: hydrolase activity, acting on ester bonds	
251987_at	CYP71B5	cytochrome P450 monooxygenase	3	19755704	AT3G53280	9620263, 15082927, 15539473, 17227549, 18650403, 18772308, 20627899, 21315474	GO:0005506: iron ion binding, GO:0009055: electron carrier activity, GO:0009507: chloroplast, GO:0016705: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, GO:0019825: oxygen binding, GO:0020037: heme binding, GO:0055114: oxidation-reduction process, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	00903: Limonene and pinene degradation, 00945: Stilbenoid, diarylheptanoid and gingerol biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
267590_at	ATEXP4, ATEXPA4, ATHEXP, EXPA4	putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana., putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana., putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana., putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.	2, 2, 2, 2	-16543832	AT2G39700	11641069, 11891242, 12169696, 14973164, 15047898, 15215502, 15763661, 15923329, 16055634, 16258012, 16287169, 16367961, 16942607, 17061125, 17189325, 17497164, 18650403, 18775970	GO:0005576: extracellular region, GO:0005576: extracellular region, GO:0005829: cytosol, GO:0006949: syncytium formation, GO:0006949: syncytium formation, GO:0009505: plant-type cell wall, GO:0009506: plasmodesma, GO:0009664: plant-type cell wall organization, GO:0009826: unidimensional cell growth, GO:0009826: unidimensional cell growth, GO:0009828: plant-type cell wall loosening, GO:0009828: plant-type cell wall loosening, GO:0009831: plant-type cell wall modification involved in multidimensional cell growth	
249576_at			5	-14973353	AT5G37690		GO:0005576: extracellular region, GO:0006629: lipid metabolic process, GO:0016298: lipase activity, GO:0016788: hydrolase activity, acting on ester bonds	
257062_at	BTS, EMB2454	Encodes BRUTUS (BTS), a putative E3 ligase protein with metal ion binding and DNA binding domains, which negatively regulates the response to iron deficiency., Encodes BRUTUS (BTS), a putative E3 ligase protein with metal ion binding and DNA binding domains, which negatively regulates the response to iron deficiency.	3, 3	6273995	AT3G18290	11983057, 14576160, 14722088, 15086800, 15644464, 15890746, 18775970, 18854047, 20675571	GO:0005634: nucleus, GO:0008270: zinc ion binding, GO:0008270: zinc ion binding, GO:0009793: embryo development ending in seed dormancy, GO:0010106: cellular response to iron ion starvation	
253658_at	ATHMA3, HMA3	encodes a protein similar to Zn-ATPase, a P1B-type ATPases transport zinc, encodes a protein similar to Zn-ATPase, a P1B-type ATPases transport zinc	4, 4	-14730401	AT4G30120	11402198, 15347784, 15539473, 16154798, 16460505, 16608451, 16844841, 16911220, 16998091, 17447913, 19036834, 21457363, 22123088, 22184655, 22268161, 22969436	GO:0000166: nucleotide binding, GO:0005524: ATP binding, GO:0005774: vacuolar membrane, GO:0005886: plasma membrane, GO:0006812: cation transport, GO:0015662: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism, GO:0015662: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism, GO:0016020: membrane, GO:0016820: hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances, GO:0030001: metal ion transport, GO:0046872: metal ion binding	
246142_at			5	6747550	AT5G19970		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0006826: iron ion transport, GO:0008150: biological_process, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015706: nitrate transport	
250869_at	TFL-1, TFL1	Controls inflorescence meristem identity. Involved in the floral initiation process. Ortholog of the Antirrhinum gene CENTRORADIALIS (CEN). Involved in protein trafficking to the protein storage vacuole., Controls inflorescence meristem identity. Involved in the floral initiation process. Ortholog of the Antirrhinum gene CENTRORADIALIS (CEN). Involved in protein trafficking to the protein storage vacuole.	5, 5	-1024641	AT5G03840	10743661, 10648231, 10583960, 10518493, 10368173, 10097382, 10021331, 9721681, 9570763, 9521899, 9611176, 9401118, 9108281, 8974397, 8787738, 7781888, 11244130, 11318875, 11553753, 11973317, 12148532, 12324621, 12271079, 12941876, 14563931, 14682620, 16170456, 16359391, 16424903, 16676184, 17369370, 17486756, 18003908, 17993543, 18203732, 18192437, 18273534, 18791256, 19168455, 15740643, 15894619, 18713382, 19570813, 19187043, 19947977, 20219831, 20421496, 20409005, 20360106, 20551347, 20514542, 20930566, 21054410, 21333657, 21498681, 21531759, 21890645, 22331140, 22427344, 22535321, 22525246, 23095045, 23022687, 23020222, 23175671	GO:0003712: transcription cofactor activity, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0005773: vacuole, GO:0005886: plasma membrane, GO:0006623: protein targeting to vacuole, GO:0008429: phosphatidylethanolamine binding, GO:0009744: response to sucrose, GO:0009909: regulation of flower development, GO:0009910: negative regulation of flower development, GO:0031982: vesicle, GO:0048573: photoperiodism, flowering, GO:0090344: negative regulation of cell aging	
264071_at	SCPL51		2	-11885571, -11885571, -11885571	AT2G27920	15047898, 15531708, 17293567, 17384169, 18571878	GO:0004185: serine-type carboxypeptidase activity, GO:0004185: serine-type carboxypeptidase activity, GO:0005576: extracellular region, GO:0006508: proteolysis, GO:0006508: proteolysis, GO:0009627: systemic acquired resistance, GO:0034976: response to endoplasmic reticulum stress	
251704_at			3	20896481	AT3G56360	11752382, 14576160, 15688252, 18775970, 21908688	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009536: plastid	
253503_at	CYP82C3	member of CYP82C	4	15455163	AT4G31950	15235117, 15539473, 16998091, 21315474, 22116654	GO:0005506: iron ion binding, GO:0009055: electron carrier activity, GO:0016705: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, GO:0019825: oxygen binding, GO:0020037: heme binding, GO:0055114: oxidation-reduction process	
254326_at			4	-11902105	AT4G22610	15047898, 17227549, 17637675, 18603616, 23148892	GO:0005576: extracellular region, GO:0006869: lipid transport, GO:0006869: lipid transport, GO:0008289: lipid binding	
254802_at	XTH2		4	-7631535	AT4G13090	11673616, 12514239, 15720654	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0005576: extracellular region, GO:0005618: cell wall, GO:0005975: carbohydrate metabolic process, GO:0006073: cellular glucan metabolic process, GO:0016762: xyloglucan:xyloglucosyl transferase activity, GO:0016798: hydrolase activity, acting on glycosyl bonds, GO:0048046: apoplast	
253937_at	MAPKKK16	member of MEKK subfamily	4	13511839	AT4G26890	15235117, 16510518, 21477822	GO:0004672: protein kinase activity, GO:0004674: protein serine/threonine kinase activity, GO:0004674: protein serine/threonine kinase activity, GO:0004713: protein tyrosine kinase activity, GO:0005524: ATP binding, GO:0005634: nucleus, GO:0006468: protein phosphorylation, GO:0016301: kinase activity, GO:0016772: transferase activity, transferring phosphorus-containing groups, GO:0046777: protein autophosphorylation	
254202_at			4	-12529875	AT4G24140	15047898, 16415209, 16623885, 21637781	GO:0005737: cytoplasm, GO:0016787: hydrolase activity	
262905_at	ATH7, TH7		1, 1	-21952634	AT1G59730	12912986, 15619004, 16941220, 17031546, 18614707	GO:0000280: nuclear division, GO:0005737: cytoplasm, GO:0006499: N-terminal protein myristoylation, GO:0006662: glycerol ether metabolic process, GO:0007000: nucleolus organization, GO:0009055: electron carrier activity, GO:0015035: protein disulfide oxidoreductase activity, GO:0045454: cell redox homeostasis	
259819_at	ATMTK, MTK, MTK1	encodes 5-methylthioribose kinase, involved in methionine cycle, encodes 5-methylthioribose kinase, involved in methionine cycle, encodes 5-methylthioribose kinase, involved in methionine cycle	1, 1, 1	18442882	AT1G49820	15557090, 15539473, 17041024, 17144895, 17277896, 18650403, 20627899, 21333657, 21316254, 21540433	GO:0005829: cytosol, GO:0009086: methionine biosynthetic process, GO:0016772: transferase activity, transferring phosphorus-containing groups, GO:0019509: L-methionine biosynthetic process from methylthioadenosine, GO:0042802: identical protein binding, GO:0046522: S-methyl-5-thioribose kinase activity, GO:0046522: S-methyl-5-thioribose kinase activity, GO:0046522: S-methyl-5-thioribose kinase activity, GO:0046522: S-methyl-5-thioribose kinase activity, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
256799_at			3	6393910	AT3G18560	15539473		
251113_at	ACI1, TRM29	Nuclear protein with a lysine-rich  domain and a C-terminal serine-rich domain. Interacts with Alcatraz (ALC). ACI1 is mainly expressed in the vascular system. Involved in cell separation during fruit dehiscence., Nuclear protein with a lysine-rich  domain and a C-terminal serine-rich domain. Interacts with Alcatraz (ALC). ACI1 is mainly expressed in the vascular system. Involved in cell separation during fruit dehiscence.	5, 5	152530	AT5G01370	16055634, 18713402, 22286137	GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0010047: fruit dehiscence	
247476_at			5	25031601	AT5G62330		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
247967_at	anac099, NAC099		5, 5	-22918521	AT5G56620	11118137, 15029955	GO:0003677: DNA binding, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0007275: multicellular organismal development	
254396_at	NRT1.8	Encodes a nitrate transporter (NRT1.8).  Functions in nitrate removal from the xylem sap. Mediates cadmium tolerance.	4	-11517353	AT4G21680	15539473, 16307366, 17172353, 17304219, 18783601, 20501909, 20837581, 22685171	GO:0005215: transporter activity, GO:0005215: transporter activity, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006857: oligopeptide transport, GO:0006857: oligopeptide transport, GO:0010167: response to nitrate, GO:0015112: nitrate transmembrane transporter activity, GO:0016020: membrane, GO:0016020: membrane, GO:0046686: response to cadmium ion	
260582_at			2	-19377729	AT2G47200		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
250152_at			5	4898737	AT5G15120	15272001, 15546358, 16081496, 16159328, 20097791, 22589469	GO:0001666: response to hypoxia, GO:0005634: nucleus, GO:0009061: anaerobic respiration, GO:0009061: anaerobic respiration, GO:0009862: systemic acquired resistance, salicylic acid mediated signaling pathway, GO:0010089: xylem development, GO:0010310: regulation of hydrogen peroxide metabolic process, GO:0044036: cell wall macromolecule metabolic process, GO:0047800: cysteamine dioxygenase activity, GO:0055114: oxidation-reduction process	00430: Taurine and hypotaurine metabolism, 01100: Metabolic pathways
261428_at	ATICS2, ICS2	Encodes a protein with isochorismate synthase activity involved in phylloquinone biosynthesis. Mutant studies of this gene's function suggest that its function is redundant with that of ICS1 (AT1G7410)., Encodes a protein with isochorismate synthase activity involved in phylloquinone biosynthesis. Mutant studies of this gene's function suggest that its function is redundant with that of ICS1 (AT1G7410).	1, 1	6515429, 6515644	AT1G18870	12609038, 12777052, 15272873, 15842617, 15870097, 16617180, 16603661, 16720694, 17061125, 17533111, 20736450	GO:0008909: isochorismate synthase activity, GO:0008909: isochorismate synthase activity, GO:0009058: biosynthetic process, GO:0009507: chloroplast, GO:0009536: plastid, GO:0042372: phylloquinone biosynthetic process	00130: Ubiquinone and other terpenoid-quinone biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
